Country,City,ILR,discount_rate,Initial_invest,NPV,IRR,npv_over_I,ppa_eur_mwh,module_factor,module_reduction_pct
Austria,Vienna,1.33,0.0602,32980419.96608095,-23401266.022297766,-0.04112422392748949,-0.7095502739614911,20,0.55,44.99999999999999
Austria,Vienna,1.33,0.0602,35479044.96608095,-25899891.022297766,-0.04578292866770428,-0.7300053044567252,20,0.7,30.000000000000004
Austria,Vienna,1.33,0.0602,37977669.96608095,-28398516.022297766,-0.05003884062534969,-0.747768782225486,20,0.85,15.000000000000002
Austria,Vienna,1.33,0.0602,40476294.96608095,-30897141.022297766,-0.05395251240103616,-0.7633391605676731,20,1.0,0.0
Austria,Vienna,1.47,0.0602,35291524.79963212,-11313893.759124307,0.02285670703438636,-0.32058387455229037,35,0.55,44.99999999999999
Austria,Vienna,1.43,0.0602,37198243.07788589,-13431713.449551912,0.01755285615948554,-0.3610846195458349,35,0.7,30.000000000000004
Austria,Vienna,1.43,0.0602,39874243.07788589,-15793594.652280774,0.012817411521470534,-0.39608512747016494,35,0.85,15.000000000000002
Austria,Vienna,1.38,0.0602,41515461.35613966,-17704456.92827808,0.008583380752066105,-0.42645453886205686,35,1.0,0.0
Austria,Vienna,1.47,0.0602,35291524.79963212,679255.9443111103,0.06224801042792416,0.01924699905055366,50,0.55,44.99999999999999
Austria,Vienna,1.47,0.0602,38056024.79963212,-1760736.800436252,0.055206748175580245,-0.04626696586694659,50,0.7,30.000000000000004
Austria,Vienna,1.43,0.0602,39874243.07788589,-4096099.6065013716,0.04896685030603454,-0.10272545107628774,50,0.85,15.000000000000002
Austria,Vienna,1.43,0.0602,42550243.07788589,-6457980.809230234,0.04339848993831685,-0.15177306501890608,50,1.0,0.0
Austria,Vienna,1.52,0.0602,36060806.52137834,12969220.997151306,0.09626652179447959,0.3596486670219817,65,0.55,44.99999999999999
Austria,Vienna,1.47,0.0602,38056024.79963212,10232412.902999174,0.08753042895720475,0.2688776076028332,65,0.7,30.000000000000004
Austria,Vienna,1.47,0.0602,40820524.79963212,7792420.158251809,0.07985204316056382,0.19089465891242133,65,0.85,15.000000000000002
Austria,Vienna,1.43,0.0602,42550243.07788589,5239514.236549164,0.07302909537160285,0.12313711644275499,65,1.0,0.0
Austria,Vienna,1.52,0.0602,36060806.52137834,41615941.90314093,0.16696522744419995,1.1540491164131141,100,0.55,44.99999999999999
Austria,Vienna,1.52,0.0602,38913806.52137834,39097837.61637506,0.15418551367161704,1.0047291979749042,100,0.7,30.000000000000004
Austria,Vienna,1.47,0.0602,40820524.79963212,35776436.13293445,0.14306272856674207,0.8764325375174224,100,0.85,15.000000000000002
Austria,Vienna,1.47,0.0602,43585024.79963212,33336443.388187096,0.1332620304183001,0.7648600302842657,100,1.0,0.0
Belgium,Brussels,1.33,0.0592,33782372.230462834,-26959398.667144936,-0.06447103607372773,-0.7980315438841394,20,0.55,44.99999999999999
Belgium,Brussels,1.33,0.0592,36280997.230462834,-29458023.667144943,-0.06860845703065299,-0.8119408482634244,20,0.7,30.000000000000004
Belgium,Brussels,1.28,0.0592,37804935.77595447,-31149554.270966828,-0.0723583026872805,-0.8239546935238878,20,0.85,15.000000000000002
Belgium,Brussels,1.28,0.0592,40215060.77595447,-33559679.27096683,-0.07583243567531461,-0.8345052481192059,20,1.0,0.0
Belgium,Brussels,1.47,0.0592,36178811.62133754,-15615811.363395436,0.007048368489996237,-0.43162864294264275,35,0.55,44.99999999999999
Belgium,Brussels,1.43,0.0592,38057125.166829176,-17612664.614013772,0.0025554237256628642,-0.4627954564830104,35,0.7,30.000000000000004
Belgium,Brussels,1.43,0.0592,40733125.166829176,-20039315.111641604,-0.0019829304623598665,-0.4919660602904224,35,0.85,15.000000000000002
Belgium,Brussels,1.38,0.0592,42345938.71232081,-22128562.056220412,-0.006779236061766114,-0.5225663364449628,35,1.0,0.0
Belgium,Brussels,1.52,0.0592,36976498.075845905,-5230661.04369753,0.043653144809566946,-0.14145907037947292,50,0.55,44.99999999999999
Belgium,Brussels,1.52,0.0592,39829498.075845905,-7716162.961009005,0.03761081814223921,-0.19372985685924007,50,0.7,30.000000000000004
Belgium,Brussels,1.47,0.0592,41707811.62133754,-9953367.445619764,0.03226416583350411,-0.23864516163028948,50,0.85,15.000000000000002
Belgium,Brussels,1.43,0.0592,43409125.166829176,-12063777.155821322,0.027458106653446723,-0.2779087832214547,50,1.0,0.0
Belgium,Brussels,1.57,0.0592,37777564.55770388,5638879.063913004,0.07459889990389801,0.14926528827182114,65,0.55,44.99999999999999
Belgium,Brussels,1.52,0.0592,39829498.075845905,3023575.7410503053,0.06713953775612591,0.07591297623918376,65,0.7,30.000000000000004
Belgium,Brussels,1.47,0.0592,41707811.62133754,525879.8723715117,0.06053570508762496,0.012608666144988382,65,0.85,15.000000000000002
Belgium,Brussels,1.47,0.0592,44472311.62133754,-1882521.8277362923,0.05466175649908145,-0.04233019960296082,65,1.0,0.0
Belgium,Brussels,1.61,0.0592,38575251.01221225,31967813.328824475,0.13741066955705472,0.8287130346528148,100,0.55,44.99999999999999
Belgium,Brussels,1.57,0.0592,40719439.55770388,28725645.687009938,0.12658287022638648,0.7054528745736436,100,0.7,30.000000000000004
Belgium,Brussels,1.52,0.0592,42682498.075845905,25597464.128543906,0.11714178330770886,0.5997180409416935,100,0.85,15.000000000000002
Belgium,Brussels,1.52,0.0592,45535498.075845905,23111962.211232424,0.10877709009796388,0.5075592271492482,100,1.0,0.0
Bulgaria,Sofia,1.66,0.08,26580163.088915627,-9830792.551093651,0.031891563694027125,-0.36985448577602054,20,0.55,44.99999999999999
Bulgaria,Sofia,1.57,0.08,28652670.891853206,-12344927.089840857,0.02276937968806947,-0.4308473418214873,20,0.7,30.000000000000004
Bulgaria,Sofia,1.52,0.08,30980270.4136672,-14861844.646072865,0.015072769559669519,-0.4797196553686775,20,0.85,15.000000000000002
Bulgaria,Sofia,1.47,0.08,33133086.81513599,-17228808.05454976,0.008421220905676208,-0.5199880153236802,20,1.0,0.0
Bulgaria,Sofia,1.71,0.08,27016688.567101635,4435136.622976282,0.09895793570220657,0.1641628511192512,35,0.55,44.99999999999999
Bulgaria,Sofia,1.61,0.08,29175854.490384415,1350910.8199325977,0.08544936865549513,0.04630235664144205,35,0.7,30.000000000000004
Bulgaria,Sofia,1.57,0.08,31594545.891853206,-1510802.4491817444,0.0742735072533669,-0.04781845747532366,35,0.85,15.000000000000002
Bulgaria,Sofia,1.52,0.08,33833270.4136672,-4228757.237717232,0.06479002329076855,-0.12498813109148897,35,1.0,0.0
Bulgaria,Sofia,1.76,0.08,27451372.165632844,19180886.335355494,0.1559824789049742,0.6987223159419548,50,0.55,44.99999999999999
Bulgaria,Sofia,1.66,0.08,29699038.088915627,15556637.03706174,0.1378679255692632,0.523809457750345,50,0.7,30.000000000000004
Bulgaria,Sofia,1.57,0.08,31594545.891853206,12139581.762678158,0.12308510320527977,0.38423029735041714,50,0.85,15.000000000000002
Bulgaria,Sofia,1.52,0.08,33833270.4136672,9135509.62477422,0.110706743580117,0.2700155649476872,50,1.0,0.0
Bulgaria,Sofia,1.76,0.08,27451372.165632844,33864772.81312972,0.20957524349326806,1.233627689311866,65,0.55,44.99999999999999
Bulgaria,Sofia,1.66,0.08,29699038.088915627,29743202.74596907,0.18654905072186834,1.0014870736527297,65,0.7,30.000000000000004
Bulgaria,Sofia,1.61,0.08,32206229.490384415,26298148.550137695,0.1679587602713497,0.8165547152295287,65,0.85,15.000000000000002
Bulgaria,Sofia,1.57,0.08,34536420.891853206,22973706.403337277,0.15251835799001467,0.6652022939863043,65,1.0,0.0
Bulgaria,Sofia,1.76,0.08,27451372.165632844,68127174.59460294,0.33061224168320136,2.4817402271749933,100,0.55,44.99999999999999
Bulgaria,Sofia,1.66,0.08,29699038.088915627,62845189.40008616,0.29537944724081555,2.11606817742496,100,0.7,30.000000000000004
Bulgaria,Sofia,1.61,0.08,32206229.490384415,58787736.719211996,0.2672726115818729,1.8253529720628685,100,0.85,15.000000000000002
Bulgaria,Sofia,1.57,0.08,34536420.891853206,54824602.89767705,0.24416764041082195,1.5874430957786254,100,1.0,0.0
Croatia,Zagreb,1.57,0.0636,27886210.28514823,-11510265.445077732,0.013126897857847375,-0.4127583248989528,20,0.55,44.99999999999999
Croatia,Zagreb,1.52,0.0636,30236964.831027117,-13912030.364908822,0.006264195912086379,-0.46010009412827185,20,0.7,30.000000000000004
Croatia,Zagreb,1.47,0.0636,32412838.556037314,-16182868.892416932,0.0002613260944015483,-0.49927342415379605,20,0.85,15.000000000000002
Croatia,Zagreb,1.47,0.0636,35177338.556037314,-18886164.535640027,-0.0058393412750163964,-0.5368844065776741,20,1.0,0.0
Croatia,Zagreb,1.66,0.0636,28886462.83512783,2169638.5673122504,0.07164507193348912,0.07510918106158113,35,0.55,44.99999999999999
Croatia,Zagreb,1.61,0.0636,31416711.560138028,-638023.0545024115,0.06138261901219799,-0.020308397117919378,35,0.7,30.000000000000004
Croatia,Zagreb,1.52,0.0636,33089964.831027117,-3236094.1642190972,0.05273508574649344,-0.09779684507808069,35,0.85,15.000000000000002
Croatia,Zagreb,1.52,0.0636,35942964.83102712,-5835251.370226601,0.04527416337842949,-0.16234752468692915,35,1.0,0.0
Croatia,Zagreb,1.66,0.0636,28886462.83512783,16279618.064231861,0.11975837569335357,0.5635725688239953,50,0.55,44.99999999999999
Croatia,Zagreb,1.61,0.0636,31416711.560138028,13203538.202445267,0.10621106134157654,0.4202711724672707,50,0.7,30.000000000000004
Croatia,Zagreb,1.57,0.0636,33769960.28514823,10256363.342440126,0.09489255504669081,0.3037126267202273,50,0.85,15.000000000000002
