City,ILR,ILR_ref_for_city,PAC_MW,PDC_MWp,AC_energy_MWh,AC_energy_MWh_ILR_1_0,AC_energy_delta_MWh,DC_energy_MWh,clipping_energy_MWh,energy_increase_percentage,energy_loss_to_inverter
Amsterdam,1.57,1.0,50.05,78.45,76444.19220271095,51257.130827064924,25187.06137564603,81857.69362303236,-3994.3333580760564,49.13864855335736,-5.5132382888995055
Amsterdam,1.61,1.0,50.05,80.81,78165.2666445544,51257.130827064924,26908.135817489478,84323.28680444905,-4704.614127032545,52.496375398525764,-6.404264005020101
Amsterdam,1.66,1.0,50.05,83.17,79836.80260730158,51257.130827064924,28579.671780236655,86788.87998586563,-5464.385897928765,55.75745524395591,-7.347328673319975
Amsterdam,1.71,1.0,50.05,85.54,81457.74095665019,51257.130827064924,30200.610129585264,89254.4731672823,-6274.699222178961,58.91982177363438,-8.345896996745248
Amsterdam,1.76,1.0,50.05,87.9,83033.91362218054,51257.130827064924,31776.782795115614,91720.06634869892,-7129.37670874716,61.99485277926784,-9.39255675438476
Amsterdam,1.8,1.0,50.05,90.26,84568.13651017887,51257.130827064924,33311.005683113945,94185.65953011558,-8025.912050564929,64.98804194776541,-10.485600735055264
Amsterdam,1.85,1.0,50.05,92.62,86061.50099130077,51257.130827064924,34804.37016423584,96651.2527115322,-8963.491139392681,67.90151848659143,-11.626099242522596
Amsterdam,1.9,1.0,50.05,94.99,87513.42188415732,51257.130827064924,36256.29105709239,99116.84589294884,-9942.417958765627,70.73414073724987,-12.81718355524741
Amsterdam,1.95,1.0,50.05,97.35,88927.07121816582,51257.130827064924,37669.94039110089,101582.4390743655,-10959.362095671559,73.49209716438187,-14.05628332423288
Amsterdam,1.99,1.0,50.05,99.71,90305.91801558276,51257.130827064924,39048.78718851784,104048.03225578209,-12010.989064607762,76.18215565023237,-15.340698593811277
Amsterdam,2.04,1.0,50.05,102.08,91650.29061097266,51257.130827064924,40393.15978390774,106513.62543719873,-13097.09255862346,78.80495675848333,-16.67289541782288
Amsterdam,2.09,1.0,50.05,104.44,92963.43654030348,51257.130827064924,41706.30571323855,108979.21861861538,-14214.189557089023,81.36683626313449,-18.04993711256541
Amsterdam,2.13,1.0,50.05,106.8,94246.66390745596,51257.130827064924,42989.53308039104,111444.81180003198,-15361.082164348745,83.87034620691564,-19.472610615172332
Amsterdam,2.18,1.0,50.05,109.16,95500.96572280441,51257.130827064924,44243.834895739485,113910.40498144865,-16536.9296351402,86.31742390149107,-20.942356108521672
Amsterdam,2.23,1.0,50.05,111.53,96726.56528768102,51257.130827064924,45469.434460616096,116375.9981628653,-17741.600833961005,88.70850499616184,-22.46199761773193
Amsterdam,2.28,1.0,50.05,113.89,97924.07517943674,51257.130827064924,46666.944352371815,118841.5913442819,-18974.203608045427,91.04478459752299,-24.033229225569784
Amsterdam,2.32,1.0,50.05,116.25,99094.57090155577,51257.130827064924,47837.44007449084,121307.18452569858,-20233.817599929655,93.32836095701165,-25.657651940680143
Amsterdam,2.37,1.0,50.05,118.62,100239.38266041267,51257.130827064924,48982.25183334774,123772.77770711518,-21518.949059156203,95.561829238175,-27.33591276714301
Amsterdam,2.42,1.0,50.05,120.98,101358.36501195938,51257.130827064924,50101.234184894456,126238.37088853182,-22830.14661196228,97.7449056872295,-29.072538607297783
Amsterdam,2.46,1.0,50.05,123.34,102451.48306873425,51257.130827064924,51194.35224166932,128703.96406994847,-24167.0869617216,99.8775222405495,-30.87088636244425
Amsterdam,2.51,1.0,50.05,125.7,103520.07823882908,51257.130827064924,52262.94741176416,131169.5572513651,-25528.544697214824,101.96229591565071,-32.73245638078581
Amsterdam,2.56,1.0,50.05,128.07,104565.04473007336,51257.130827064924,53307.91390300844,133635.15043278172,-26913.566458974845,104.0009712655642,-34.65943863298213
Amsterdam,2.61,1.0,50.05,130.43,105587.45016555385,51257.130827064924,54330.319338488924,136100.74361419838,-28321.011419533756,105.99563116748097,-36.65370357319922
Amsterdam,2.65,1.0,50.05,132.79,106589.31398481136,51257.130827064924,55332.18315774644,138566.33679561506,-29748.93163952122,107.95021544305752,-38.71523114739505
Amsterdam,2.7,1.0,50.05,135.16,107569.9733626777,51257.130827064924,56312.84253561278,141031.92997703163,-31198.28439971848,109.86343095481716,-40.85058851435099
Amsterdam,2.75,1.0,50.05,137.52,108528.49733525609,51257.130827064924,57271.36650819117,143497.52315844828,-32669.944350229533,111.73346144055061,-43.0669226668193
Amsterdam,2.79,1.0,50.05,139.88,109465.11940169291,51257.130827064924,58207.98857462798,145963.11633986497,-34163.30773244114,113.56076244496474,-45.36850704535062
Amsterdam,2.84,1.0,50.05,142.25,110381.44085207315,51257.130827064924,59124.31002500823,148428.70952128162,-35677.030135349574,115.34845800184597,-47.75759529197758
Athens,1.0,1.0,50.05,50.09,78728.6257062137,78728.6257062137,0.0,80152.37012722077,-0.0,0.0,-0.0
Athens,1.05,1.0,50.05,52.46,82424.65078195854,78728.6257062137,3696.0250757448375,83933.14230303309,-20.959681967815623,4.694639392712182,-0.025435367867663376
Athens,1.1,1.0,50.05,54.82,86037.0815415315,78728.6257062137,7308.4558353178,87713.91447884541,-131.28114859657296,9.283098453401525,-0.1528198887573252
Athens,1.14,1.0,50.05,57.18,89492.12188093392,78728.6257062137,10763.496174720218,91494.68665465774,-406.3711829786183,13.671642402200224,-0.4561573313294708
Athens,1.19,1.0,50.05,59.54,92721.99505778836,78728.6257062137,13993.369351574656,95275.45883046999,-910.8266593724325,17.774182168240518,-0.9920652086899566
Athens,1.24,1.0,50.05,61.91,95737.46073981808,78728.6257062137,17008.83503360438,99056.23100628234,-1628.0253433740074,21.60438453107908,-1.7299278616600036
Athens,1.28,1.0,50.05,64.27,98573.51216347217,78728.6257062137,19844.88645725847,102837.00318209465,-2522.748374935877,25.206697410561052,-2.626474038759251
Athens,1.33,1.0,50.05,66.63,101255.8251061435,78728.6257062137,22527.1993999298,106617.77535790688,-3569.7139733875542,28.61373382026638,-3.654269713466527
Athens,1.38,1.0,50.05,69.0,103805.45061338747,78728.6257062137,25076.824907173766,110398.54753371919,-4748.565765960904,31.85223250403387,-4.793776599450844
Athens,1.43,1.0,50.05,71.36,106235.85136442052,78728.6257062137,27507.225658206822,114179.31970953153,-6046.115629376902,34.93929356883947,-6.034665712030755
Athens,1.47,1.0,50.05,73.72,108554.47172435519,78728.6257062137,29825.846018141485,117960.09188534379,-7455.336237264362,37.884372743200906,-7.374282877242131
Athens,1.52,1.0,50.05,76.08,110768.8241076186,78728.6257062137,32040.198401404894,121740.86406115616,-8968.755942526946,40.69701219092423,-8.810166932287409
Athens,1.57,1.0,50.05,78.45,112881.88661631804,78728.6257062137,34153.260910104334,125521.63623696844,-10583.8302874977,43.38099465568185,-10.346071731292442
Athens,1.61,1.0,50.05,80.81,114891.76475065704,78728.6257062137,36163.139044443335,129302.40841278071,-12302.668602989976,45.9339137703113,-11.992179544384985
